RequestID,RequestDate,Status,City,Principal_Name_Ar,Principal_Name_En,Nationality
45350,4/2/2019,قائمة,جده,هوبلو اس ايه جينيف,HUBLOT SA Geneve,سويسري
45351,4/2/2019,قائمة,جده,هوبلو اس ايه جينيف,HUBLOT SA GENEVE,سويسري
45352,4/2/2019,قائمة,الرياض,مطعم رمز الشيف لتقديم الوجبات,,المملكة العربية السعودية
45353,4/3/2019,قائمة,الرياض,اتا فين فيترينير هاى فان جلى باز سان فى تى جاي.سى,ATA FEN Veteriner Malzemeleri Hayvancılık Paz. San. ve Tic A.S,تركي
45354,4/3/2019,قائمة,الرياض, نترابوليكس انك,Nutrabolics inc,كندي
45355,4/3/2019,قائمة,الرياض,د. شاير أيه جي/إس بي أيه,DR.SCHAR AG/SPA,ايطالي
45356,4/4/2019,قائمة,الرياض,وو يونج ميديكال كو ليمتد,"WOO YOUNG MEDICAL CO.,LTD",كوريه الجنوبيه
45357,4/4/2019,قائمة,الرياض,جيانجسو كانجباو ميديكل ايكويبمنت كو,JIANGSU KANGBAO MEDICAL EQUIPMENT CO.,الصين الشعبيه
45358,4/4/2019,قائمة,الرياض,كولارادو بيولابز انك.,Colorado BiolabS Inc.,امريكي
45359,4/4/2019,قائمة,الرياض,دايركس سوليوشنز ليميتيد,Direx Solutions Limited,بريطاني
45360,4/4/2019,قائمة,الرياض,كونمد كوربوريشن,CONMED CORPORATION,امريكي
45361,4/4/2019,قائمة,جده,هوبلو اس ايه جينيف,HUBLOT SA Geneve,سويسري
45362,4/7/2019,قائمة,الدمام,روك وول تيكنيكال انسوليشن,ROCKWOOL TECHNICAL HNSULATION ,هولندي
45363,4/8/2019,قائمة,الرياض,رايز جلوبال هولدنق المحدودة ,RISE GLOBAL HOLDINGS LTD,ايرلندي
45364,4/8/2019,قائمة,الدمام,ميتلر - توليدو جي ام بي اتش بروسس اناليتكس,METTLER-TOLEDO GMBH PROCESS ANALYTICS,سويسري
45365,4/8/2019,قائمة,الدمام,مصنع الممتاز للهندسة ذ.م.م,Super Engineering Industry L.L.C,اماراتي
45366,4/8/2019,قائمة,الرياض,تيانجين ميديس ميدكال ديفيس كو ليمتد ,"Tianjin Medis Medical Device Co ,LTD",الصين الشعبيه
45367,4/8/2019,قائمة,الدمام,ايلايد فاير بال بروكومباني ليمتد,ELIDE FIRE BALL PRO CO LTD,تايلانديه
45368,4/8/2019,قائمة,الدمام,هواوي تكنولوجيز كو.ليمتد,HUAWEI TECHNOLOGIES CO.LTD,الصين الشعبيه
45369,4/8/2019,قائمة,الرياض,كاس ميديكال سيستيمز إنك ,"CAS MEDICAL SYSTEMS, INC.",امريكي
45370,4/9/2019,قائمة,الرياض,‎أوليمبوس الاوروبية إس إي أند كو كى جي,OLYMPUS EUROPE SE& Co. KG ,الماني
45371,4/9/2019,قائمة,الدمام,هودين كومبريسورز,HOWDEN COMPRESSORS,بريطاني
45372,4/9/2019,قائمة,الرياض,شركة الوحدانية للتجارة العامة ش ذ.م.م,ALWAHDANIA GENERAL TRADING CO LLC,اماراتي
45373,4/9/2019,قائمة,الدمام, ري اويل تولز  ,RAY OIL TOOL ,بريطاني
45374,4/9/2019,قائمة,الرياض,شركة لي بيتيت-فليس دي ال يو شوبارد & سي اس ايه,LE PETIT-FILS DE L.-U. CHOPARD & Cie S.A.,سويسري
45375,4/10/2019,قائمة,الدمام,الكو فالفز قروب ليمتد,ALCO VALVES GROUP,بريطاني
45376,4/10/2019,قائمة,الدمام,مكمينون انجنيرينق سيرفيسيس,MCMENON ENGINEERING SERVICES,بريطاني
45377,4/10/2019,قائمة,الدمام, ميدكو ايول فيلد سيرفسز فري زون ,MIDCO OIL FIELD SERVICES FREE ZONE,مصري
45378,4/10/2019,قائمة,الرياض,الريتش لايف ساينسز بي تي اي ليمتد,ELRICH LIFESCIENCES Pte Ltd,سنغافوريه
45379,4/11/2019,قائمة,الرياض,شركة فطيرة الفلافل للمطاعم المحدودة,,المملكة العربية السعودية
45380,4/11/2019,قائمة,الرياض,دبليو تي إس أس بي إيه,WTS SPA,ايطالي
45381,4/11/2019,قائمة,الرياض,شركة سيفن برودكشن آند إنفيتس ميدل إيست ,Seven production and Events  Middie East FZ-LLC,اماراتي
45382,4/11/2019,قائمة,الرياض,إندو-فليكس جمبا,ENDO-FLEX GmbH,الماني
45383,4/11/2019,قائمة,الرياض,روكاميد,Rocamed,فرنسي
45384,4/14/2019,قائمة,الرياض,فراميسي إس.بي.اي,Framesi S.P.A,ايطالي
45385,4/14/2019,قائمة,الدمام,شركة قطوف وحلا التجارية,,المملكة العربية السعودية
45386,4/15/2019,قائمة,الدمام,شركة هودين روتس ال ال سي,HOWDEN ROOTS LLC,امريكي
45387,4/15/2019,قائمة,الدمام,مطعم استاد الشاورما,,المملكة العربية السعودية
45388,4/15/2019,قائمة,الرياض,ناتشورال سيرنتي ليمتد ,Natural Serenity Ltd,بريطاني
45389,4/15/2019,قائمة,الدمام,هيوليت - باكارد يوربا بي في ,HEWLETT - PACKARD EUROPE B.V,سويسري
45390,4/15/2019,قائمة,الرياض,قلف انجكت,Gulf Inject LLC,اماراتي
45391,4/17/2019,قائمة,الرياض,سنكو كوربوريشن ,Cinco Corporation ,فلبيني
45392,4/17/2019,قائمة,الرياض,ترانسميدكس انك ,"TransMedics, Inc.",امريكي
45393,4/17/2019,قائمة,الرياض,جوانج دونج ال دي ان اي او لتقنية الالكترونيات,GUANG DONG LDNIO ELECTRONICS,الصين الشعبيه
45394,4/17/2019,قائمة,الرياض,شركة دنجوان جيال وانج المحدودة للتقنيات الالكترونيات الذكية,DONGGUAN JILIWANG INTLLIGNT ELECTRONIC,الصين الشعبيه
45395,4/17/2019,قائمة,جده,سامسونج الكترونيكس كمباني ليمتد,SAMSUNG ELECTRONICS CO. LTD.,كوريه الجنوبيه
45396,4/17/2019,قائمة,الرياض,جاكور لاند روفور ليمتد,JAGUAR LAND ROVER LIMITED,بريطاني
45397,4/18/2019,قائمة,الرياض,شركة آنهوي جرينلاند بيوتيك المحدودة ,ANHUI GREENLAND BIOTECH CO . LTD,الصين الشعبيه
45398,4/18/2019,قائمة,الرياض,بوست جوز  فرانشيزيس بي واي ليمتد ,BOOST JUICE FRANCHISES PTY LTD ,استرالي
45399,4/18/2019,قائمة,الرياض,والمارك ايه اس ,WALMARK A. S ,تشيكي
45400,4/21/2019,قائمة,جده,شركة شانتو نيو ستارلايت بلاستيك المحدودة,"Shantou New Starlight Plastics CO.,LTD",الصين الشعبيه
45401,4/21/2019,قائمة,الرياض,إم اتش كي ميديكال تكستايل ساناي في تيكاريت ليميتد سيركيت,MHK MEDIKAL TEKSTIL SANAYI VE TICARET LIMITED SIRKETI,تركي
45402,4/21/2019,قائمة,الرياض,كاريلكس ميديكل ليمتد كومباني ,Carilex Medical Limited Company,بريطاني
45403,4/21/2019,قائمة,جده,مطعم اينشتاين,Einstein restaurant,كويتي
45404,4/21/2019,قائمة,الرياض,الفاخر توباكو,AlFakher Tobacco ,اماراتي
45405,4/23/2019,قائمة,الرياض,بروبودي ميديكال اي بي اس,Probody medical APS,دنمركيه
45406,4/24/2019,قائمة,الرياض,أتلانتيك ميديكال برودكتس,Atlantic Medical Products,امريكي
45407,4/24/2019,قائمة,الرياض,تيك فاير ميدل إيست,TECFIRE MIDDLE EAST,اماراتي
45408,4/25/2019,قائمة,الدمام, ابف كوفي شوب,Above Coffee Shop ,كويتي
45409,4/25/2019,قائمة,الرياض,شنغهاي الوكاكوك اندستريال,SHANGHAI ALLOCACOC INDUSTRIAL,الصين الشعبيه
